Satellite Name,Country,Operator,Purpose,Orbit Class,Launch Date,Expected Lifetime,Launch Mass (kg.)
"AMC-7 (Americom-7, GE-7)",USA,SES World Skies,Communications,GEO,2000-09-14,15.0,1935.0
"AMC-8 (Americom-8, GE-8, Aurora 3)",USA,SES World Skies,Communications,GEO,2000-12-19,15.0,2015.0
"AMC-9 (Americom 9, GE-12)",USA,SES World Skies,Communications,GEO,2003-06-07,15.0,4100.0
Amos 2 ,Israel,Israel Aircraft Industries,Communications,GEO,2003-12-27,12.0,1400.0
Amos 3,Israel,Space-Communication Ltd,Communications,GEO,2008-04-28,12.0,1200.0
Amos 4,Israel,Space-Communication Ltd,Communications,GEO,2013-08-31,12.0,1200.0
Amos 5,Israel,Space-Communication Ltd,Communications,GEO,2011-12-11,15.0,1600.0
Amsat-Oscar 7 (AO-7),USA,Amsat-NA,Communications,LEO,1974-11-15,10.0,29.0
Anik F1 ,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Communications,GEO,2000-11-21,15.0,4710.0
Anik F1R,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Communications,GEO,2005-09-09,15.0,4500.0
Anik F2 ,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Communications,GEO,2004-07-18,15.0,5910.0
Anik F3,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Communications,GEO,2007-04-09,15.0,4715.0
Anik G1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Communications,GEO,2013-04-15,15.0,4905.0
AntelSat,Uruguay,"Facultad de Ingeniería de la Universidad de la República (FING), ANTEL",Technology Development,LEO,2014-06-19,10.0,2.0
AprizeSat 1 (LatinSat-C),Argentina,Aprize Satellites Argentina,Communications/Technology Development,LEO,2004-06-29,10.0,12.0
AprizeSat 10 (exactView-13),USA/Argentina,Aprize Satellite,Communications/Maritime Tracking,LEO,2014-06-19,10.0,12.0
AprizeSat 2 (LatinSat-D),Argentina,Aprize Satellites Argentina,Communications/Technology Development,LEO,2004-06-29,10.0,12.0
AprizeSat 3 ,USA/Argentina,Aprize Satellite,Communications/Maritime Tracking,LEO,2009-07-29,10.0,12.0
AprizeSat 4 ,USA/Argentina,Aprize Satellite,Communications/Maritime Tracking,LEO,2009-07-29,10.0,12.0
AprizeSat 5,Canada,AprizeSat,Communications,LEO,2011-08-17,10.0,12.0
AprizeSat 7,Canada,AprizeSat,Communications,LEO,2013-11-21,10.0,12.0
AprizeSat 8 (exactView-12),USA/Argentina,Aprize Satellite,Communications/Maritime Tracking,LEO,2013-11-21,10.0,12.0
AprizeSat 9 (exactView-11),Canada,exactEarth,Communications/Maritime Tracking,LEO,2014-06-19,10.0,12.0
Apstar 1A,China,APT Satellite Holdings Ltd.,Communications,GEO,1996-07-03,10.0,1383.0
Apstar 6,China,APT Satellite Holdings Ltd.,Communications,GEO,2005-04-12,10.0,4680.0
Apstar 7,China,APT Satellite Holdings Ltd.,Communications,GEO,2012-03-31,15.0,5054.0
Apstar 9,China,APT Satellite Holdings Ltd.,Communications,GEO,2015-10-16,15.0,5200.0
"Apstar 9A (Chinastar-1, ChinaSat-10, Zhongwei 1, Chinasat 5A)",China,APT Satellite Holdings Ltd.,Communications,GEO,1998-05-30,15.0,3000.0
Arabsat 5C,Multinational,Arab Satellite Communications Org. (ASCO),Communications,GEO,2011-09-21,15.0,4630.0
Arabsat 7F (Nimiq 1) ,Multinational,Arab Satellite Communications Org. (ASCO),Communications,GEO,1999-05-20,12.0,3600.0
ARC-1 (Alaska Research Satellite-1),USA,University of Alaska-Fairbanks,Technology Development,LEO,2015-10-08,10.0,1.0
ArSat 1,Argentina,ArSat,Communications,GEO,2014-10-16,15.0,3000.0
ArSat 2,Argentina,ArSat,Communications,GEO,2015-09-30,15.0,2977.0
Artemis (Advanced Data Relay and Technology Mission Satellite) ,ESA,European Space Agency,Communications/Technology Development,GEO,2001-07-12,10.0,3105.0
AsiaSat-3S (Asiasat 3SA),China,Asia Satellite Telecommunications Co. Ltd. ,Communications,GEO,1999-03-21,15.0,3480.0
AsiaSat-4 ,China,Asia Satellite Telecommunications Co. Ltd.,Communications,GEO,2003-04-12,15.0,4137.0
AsiaSat-5,China,Asia Satellite Telecommunications Co. Ltd.,Communications,GEO,2009-08-11,15.0,3760.0
AsiaSat-6 (Thaicom-7),China,Asia Satellite Telecommunications Co. Ltd.,Communications,GEO,2014-09-07,15.0,3700.0
AsiaSat-7,China,Asia Satellite Telecommunications Co. Ltd. ,Communications,GEO,2011-11-25,15.0,3813.0
AsiaSat-8,China,Asia Satellite Telecommunications Co. Ltd. ,Communications,GEO,2014-08-05,15.0,4500.0
AsiaStar ,USA,1Worldspace,Communications,GEO,2000-03-21,15.0,2775.0
ASNARO 1 (Advanced Satellite with New system Architecture for Observation),Japan,"Ministry of Economy, Trade and Industry",Earth Observation,LEO,2014-11-06,3.0,500.0
Astra 1D ,Luxembourg,SES (Société Européenne des Satellites (SES)),Communications,GEO,1994-11-01,15.0,2924.0
Astra 1F ,Luxembourg,SES (Société Européenne des Satellites (SES)),Communications,GEO,1996-04-18,15.0,3010.0
Astra 1G ,Luxembourg,SES (Société Européenne des Satellites (SES)),Communications,GEO,1997-12-02,15.0,3379.0
Astra 1H ,Luxembourg,SES (Société Européenne des Satellites (SES)),Communications,GEO,1999-06-18,15.0,3690.0
Astra 1KR,Luxembourg,SES (Société Européenne des Satellites (SES)),Communications,GEO,2006-04-20,15.0,4332.0
Astra 1L,Luxembourg,SES (Société Européenne des Satellites (SES)),Communications,GEO,2007-05-04,15.0,4500.0
Astra 1M,Luxembourg,SES (Société Européenne des Satellites (SES)),Communications,GEO,2008-11-05,15.0,5345.0
Astra 1N,Luxembourg,SES (Société Européenne des Satellites (SES)),Communications,GEO,2011-08-06,15.0,5350.0
Astra 2A ,Luxembourg,SES (Société Européenne des Satellites (SES)),Communications,GEO,1998-08-30,15.0,3635.0
Astra 2B ,Luxembourg,SES (Société Européenne des Satellites (SES)),Communications,GEO,2000-09-14,14.0,3315.0
Astra 2C ,Luxembourg,SES (Société Européenne des Satellites (SES)),Communications,GEO,2001-06-16,15.0,3643.0
Astra 2D,Luxembourg,SES (Société Européenne des Satellites (SES)),Communications,GEO,2000-12-19,15.0,1420.0
Astra 2E,Luxembourg,SES (Société Européenne des Satellites (SES)),Communications,GEO,2013-09-29,15.0,6052.0
Astra 2F,Luxembourg,SES (Société Européenne des Satellites (SES)),Communications,GEO,2012-09-28,15.0,6000.0
Astra 2G,Luxembourg,SES (Société Européenne des Satellites (SES)),Communications,GEO,2014-12-27,15.0,6000.0
Astra 3A ,Luxembourg,SES (Société Européenne des Satellites (SES)),Communications,GEO,2002-03-29,10.0,1500.0
Astra 3B,Luxembourg,SES (Société Européenne des Satellites (SES)),Communications,GEO,2010-05-21,15.0,5471.0
Astra 5B,Luxembourg,SES (Société Européenne des Satellites (SES)),Communications,GEO,2014-03-22,15.0,5724.0
Astrosat,India,Telemetry Tracking and Command Network (ISTRAC) Centre,Space Science,LEO,2015-09-28,5.0,230.0
Athena-Fidus  (Access on THeatres for European Nations Allied forces - French Italian Dual Use Satellite),France/Italy,Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI),Communications,GEO,2014-02-06,15.0,3080.0
Athenoxat-1 ((Athene Noctua Experimental Satellite) ,Singapore,Microspace Rapid Pvt Ltd.,Technology Development,LEO,2015-12-16,10.0,6.0
Aurora  (Tabletsat-2U-EO),Russia,Sputnix Ltd.,Technology Development,LEO,2014-06-19,1.0,25.0
Azerspace/Africasat-1a (Azersat-1),Azerbaijan,Ministry of Communications and Information Technologies,Communications,GEO,2013-02-07,15.0,3250.0
Badr 4 (Arabsat 4B),Multinational,Arab Satellite Communications Org. (ASCO),Communications,GEO,2006-11-08,15.0,3304.0
Badr 5 (Arabsat 5B),Multinational,Arab Satellite Communications Org. (ASCO),Communications,GEO,2010-06-03,15.0,5420.0
Badr 5A (Arabsat 5A),Multinational,Arab Satellite Communications Org. (ASCO),Communications,GEO,2010-06-26,15.0,4940.0
Badr 6 (Arabsat 4AR),Multinational,Arab Satellite Communications Org. (ASCO),Communications,GEO,2008-07-07,15.0,3400.0
Badr 7 (Arabsat 6B),Multinational,Arab Satellite Communications Org. (ASCO),Communications,GEO,2015-11-10,15.0,5500.0
BARS-M (Cosmos 2503),Russia,Ministry of Defense,Earth Observation,LEO,2015-02-27,5.0,4000.0
BARS-M (Cosmos 2515),Russia,Ministry of Defense,Earth Observation,LEO,2016-03-24,5.0,4000.0
BeeSat-1 (Berlin Experimental and Educational Satellite 1),Germany,Institut für Luft- und Raumfahrt,Technology Development,LEO,2009-09-23,1.0,1.0
BeeSat-2 (Berlin Experimental and Educational Satellite 2),Germany,Institut für Luft- und Raumfahrt,Technology Development,LEO,2013-04-19,1.0,1.0
BeeSat-3 (Berlin Experimental and Educational Satellite 3),Germany,Institut für Luft- und Raumfahrt,Technology Development,LEO,2013-04-19,1.0,1.0
Beidou 2-12 (Compass M3),China,Chinese Defense Ministry,Navigation/Global Positioning,MEO,2012-04-28,8.0,2200.0
Beidou 2-13 (Compass M4),China,Chinese Defense Ministry,Navigation/Global Positioning,MEO,2012-04-28,8.0,2200.0
Beidou 2-14 (Compass M5),China,Chinese Defense Ministry,Navigation/Global Positioning,MEO,2012-09-18,8.0,3800.0
Beidou 2-15 (Compass M6),China,Chinese Defense Ministry,Navigation/Global Positioning,MEO,2012-09-18,8.0,3800.0
Beidou 2-16 (Compass G-6),China,Chinese Defense Ministry,Navigation/Global Positioning,GEO,2012-10-25,8.0,3800.0
Beidou 2-23 (Compass G-7),China,Chinese Defense Ministry,Navigation/Global Positioning,GEO,2016-06-12,8.0,3800.0
Beidou 3I-1S,China,Chinese Defense Ministry,Navigation/Global Positioning,GEO,2015-03-30,8.0,4200.0
Beidou 3I-2S,China,Chinese Defense Ministry,Navigation/Global Positioning,GEO,2015-09-29,8.0,4200.0
Beidou 3M-1S,China,Chinese Defense Ministry,Navigation/Global Positioning,MEO,2015-07-25,5.0,800.0
Beidou 3M-2S,China,Chinese Defense Ministry,Navigation/Global Positioning,MEO,2015-07-25,5.0,800.0
Beidou 3M-3S,China,Chinese Defense Ministry,Navigation/Global Positioning,MEO,2016-02-01,5.0,800.0
Beidou G1 (Compass G-1),China,Chinese Defense Ministry,Navigation/Global Positioning,GEO,2010-01-16,10.0,2200.0
Beidou G3 (Compass G-3),China,Chinese Defense Ministry,Navigation/Global Positioning,GEO,2010-06-02,10.0,2200.0
Beidou G4 (Compass G-4),China,Chinese Defense Ministry,Navigation/Global Positioning,GEO,2010-10-31,10.0,6000.0
Beidou G5 (Compass G-11),China,Chinese Defense Ministry,Navigation/Global Positioning,GEO,2012-02-24,8.0,2300.0
Beidou IGSO-1 (Compass G-5),China,Chinese Defense Ministry,Navigation/Global Positioning,GEO,2010-07-31,8.0,4200.0
Beidou IGSO-2 (Compass G-7),China,Chinese Defense Ministry,Navigation/Global Positioning,GEO,2010-12-17,8.0,4200.0
Beidou IGSO-3 (Compass G-8),China,Chinese Defense Ministry,Navigation/Global Positioning,GEO,2011-04-09,10.0,4200.0
Beidou IGSO-4 (Compass G-9),China,Chinese Defense Ministry,Navigation/Global Positioning,GEO,2011-07-26,8.0,4200.0
Beidou IGSO-5 (Compass G-10),China,Chinese Defense Ministry,Navigation/Global Positioning,GEO,2011-12-01,8.0,4200.0
Beidou IGSO-6 ,China,Chinese Defense Ministry,Navigation/Global Positioning,GEO,2016-03-30,8.0,4200.0
Beidou M1 (Compass M1),China,Chinese Defense Ministry,Navigation/Global Positioning,MEO,2007-04-14,8.0,2200.0
"BeijinGalaxy-1 (Beijing 1 [Tsinghua], Tsinghau-2, China DMC+4)",China,Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),Earth Observation,LEO,2005-10-27,7.0,166.0
Belintersat-1,Belarus,Belintersat,Communications,GEO,2016-01-15,15.0,5223.0
BermudaSat-1 (Echostar 6) ,USA,"Echostar Technologies, LLC - leased to Bermuda, operated by SES Satellites",Communications,GEO,2000-07-14,12.0,3700.0
Bird 2 (Bispectral InfraRed Detector 2),Germany,Institute of Space Sensor Technology and Planetary Exploration,Earth Observation/Technology Development,LEO,2001-10-22,1.5,92.0
BIROS (Bispectral Infrared Optical System),Germany,German Aerospace Center (DLR),Earth Observation,LEO,2016-06-22,10.0,130.0
BisonSat (Nwist Qwiqway),USA,Salish Kootenai College,Earth Observation/Technology Development,LEO,2015-10-08,10.0,1.0
BKA 2 (BelKA 2),Belarus,National Academy of Sciences,Earth Observation,LEO,2012-07-22,5.0,400.0
Brazilsat B-2 (Brasilsat B-2),Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Communications,GEO,1995-03-28,12.0,1780.0
Brazilsat B-3 (Brasilsat B-3),Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Communications,GEO,1998-02-04,12.0,1780.0
Brazilsat B-4 (Brasilsat B-4),Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Communications,GEO,2000-08-17,12.0,2495.0
BRISat,Indonesia,Bank Rakyat Indonesia (BRI),Communications,GEO,2016-06-19,15.0,3540.0
BRITE-CA-1 (BRITE Toronto),Canada,"University of Toronto, Institute for Aerospace Studies",Space Science,LEO,2014-06-19,10.0,10.0
"BRITE-PL-1 (BRIght-star Target Explorer - Poland, Lem)",Multinational,BRITE Consortium,Space Science,LEO,2013-11-21,2.0,10.0
"BRITE-PL-2 (BRIght-star Target Explorer - Poland, Hevelius)",Multinational,BRITE Consortium,Space Science,LEO,2014-08-19,2.0,10.0
BSAT-3A,Japan,Broadcasting Satellite System Corp.,Communications,GEO,2007-08-14,13.0,1980.0
BSAT-3B,Japan,Broadcasting Satellite System Corp.,Communications,GEO,2010-10-28,15.0,2060.0
BSAT-3C/JCSat 110-R,Japan,Broadcasting Satellite System Corp./Sky Perfect JSAT Corporation,Communications,GEO,2011-08-06,15.0,2910.0
Bugsat-1 (Tita),Argentina,Satellogic S.A.,Technology Development,LEO,2014-06-19,10.0,25.0
Calipso (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation),France/USA,Centre National d'Etudes Spatiales (CNES)/NASA,Earth Science,LEO,2006-04-28,3.0,587.0
Canopus-B (Kanopus Vulcan 1) ,Russia,Scientific Production Corporation (joint stock creation of Russian Space Agency),Earth Observation,LEO,2012-07-22,5.0,400.0
CartoSat 1 (IRS P5),India,Indian Space Research Organization (ISRO),Earth Observation,LEO,2005-05-05,6.0,1560.0
"CartoSat 2 (IRS P7, CartoSat 2AT)",India,Indian Space Research Organization (ISRO),Earth Observation,LEO,2007-01-10,5.0,680.0
CartoSat 2A,India,Indian Space Research Organization (ISRO),Earth Observation,LEO,2008-04-28,5.0,680.0
CartoSat 2B,India,Indian Space Research Organization (ISRO),Earth Observation,LEO,2010-07-12,5.0,694.0
CartoSat 2C,India,Indian Space Research Organization (ISRO),Earth Observation,LEO,2016-06-22,5.0,727.0
Cassiope (CAScade SmallSat and Ionospheric Polar Explorer),Canada,Canadian Space Agency,Earth Science,LEO,2013-09-29,2.0,490.0
CBERS 4 (China-Brazil Earth Resources Satellite 4),China/Brazil,China National Space Administration (China)/National Institute for Space Research (Brazil),Earth Observation,LEO,2014-12-07,3.0,1980.0
CBNT-1 (Carbonite 1),United Kingdom,Surrey Satellite Technology Ltd.,Technology Development,LEO,2015-07-10,10.0,91.0
CFESat (Cibola Flight Experiment Satellite),USA,Los Alamos National Labs (LANL),Technology Development,LEO,2007-03-09,10.0,159.0
Chandra X-Ray Observatory (CXO),USA,NASA Goddard Space Flight Center,Space Science,Elliptical,1999-07-23,5.0,4742.0
ChinaSat 11 (Zhong Xing 11),China,China Satellite Communication Corp. (China Satcom),Communications,GEO,2013-05-01,15.0,5100.0
ChinaSat 1C (Zhong Xing 1C),China,China Satellite Communication Corp. (China Satcom),Communications,GEO,2015-12-09,15.0,5200.0
ChinaSat 2C (Zhong Xing 2C),China,China Satellite Communication Corp. (China Satcom),Communications,GEO,2015-11-03,15.0,5200.0
ChinaSat 6B (Zhong Xing 6B),China,China Satellite Communication Corp. (China Satcom),Communications,GEO,2007-07-06,15.0,4600.0
"Chuangxin 1-1 (Innovation 1-1, Chuang Xin 1, CX-1-1)",China,Chinese Academy of Sciences,Communications,LEO,2003-10-21,10.0,100.0
Chuangxin 1-2 (Innovation 1-2),China,Chinese Academy of Sciences,Earth Observation,LEO,2008-11-05,10.0,100.8
Chuangxin 1-3 (Innovation 1-3),China,Chinese Academy of Sciences,Earth Observation,LEO,2011-11-20,10.0,100.0
Chuangxin 1-4 (Innovation 1-4),China,Chinese Academy of Sciences,Earth Observation,LEO,2014-09-04,10.0,100.0
Chuangxin-3,China,Chinese Academy of Sciences,Technology Development,LEO,2013-07-19,10.0,200.0
ChubuSat 1 (Kinshachi-1),Japan,Nagoya University and Daido University,Technology Development,LEO,2014-11-06,10.0,50.0
ChubuSat 2 (Kinshachi-2),Japan,Nagoya University and Daido University,Technology Development,LEO,2016-02-17,10.0,50.0
ChubuSat 3 (Kinshachi-3),Japan,Nagoya University and Daido University,Technology Development,LEO,2016-02-17,10.0,50.0
Ciel-2,Canada,Ciel Satellite Group,Communications,GEO,2008-12-10,15.0,5585.0
"CINEMA-1 (Cubesat for Ion, Neutral, Electron, Magnetic fields)",USA,University of California-Berkeley/Imperial College-London,Space Science,LEO,2012-09-13,10.0,3.15
CLIO (USA 257),USA,Unknown US agency,Communications,GEO,2014-09-16,10.0,1200.0
Cloudsat,USA,NASA/Colorado State University,Earth Observation,LEO,2006-04-28,2.0,848.0
"COMS-1 (Communication, Ocean and Meteorological Satellite; Cheollian)",South Korea,Korea Aerospace Research Institute (KARI),Earth Observation/Communications,GEO,2010-06-26,10.0,2460.0
COMSATBw-1 (COmmunications SATellite für BundesWehr),Germany,Armed Forces,Communications,GEO,2009-10-01,15.0,2440.0
COMSATBw-2 (COmmunications SATellite für BundesWehr),Germany,Armed Forces,Communications,GEO,2010-05-21,15.0,2440.0
Condor E2 ,South Africa,Armed Forces,Earth Observation,LEO,2014-12-19,10.0,1200.0
Coriolis (Windsat),USA,US Air Force/ US Navy/NASA,Earth/Space Science,LEO,2003-01-06,3.0,817.0
"COSMIC-A (Formosat-3A, Constellation Observing System for Meteorology, Ionosphere and Climate)",Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Earth Observation,LEO,2006-04-15,2.0,70.0
"COSMIC-B (Formosat-3B, Constellation Observing System for Meteorology, Ionosphere and Climate)",Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Earth Observation,LEO,2006-04-15,2.0,70.0
"COSMIC-D (Formosat-3D, Constellation Observing System for Meteorology, Ionosphere and Climate)",Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Earth Observation,LEO,2006-04-15,2.0,70.0
"COSMIC-E (Formosat-3E, Constellation Observing System for Meteorology, Ionosphere and Climate)",Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Earth Observation,LEO,2006-04-15,2.0,70.0
"COSMIC-F (Formosat-3F, Constellation Observing System for Meteorology, Ionosphere and Climate)",Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Earth Observation,LEO,2006-04-15,2.0,70.0
Cosmos 2504,Russia,Ministry of Defense,Technology Development,LEO,2015-03-31,10.0,1200.0
COSMO-Skymed 1 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italian Space Agency/Ministry of Defense,Earth Observation,LEO,2007-06-08,5.0,1700.0
COSMO-Skymed 2 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italian Space Agency/Ministry of Defense,Earth Observation,LEO,2007-12-09,5.0,1700.0
COSMO-Skymed 3 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italian Space Agency/Ministry of Defense,Earth Observation,LEO,2008-10-25,5.0,1700.0
COSMO-Skymed 4 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italian Space Agency/Ministry of Defense,Earth Observation,LEO,2010-11-06,5.0,1700.0
CP-10 (Exocube),USA,California Polytechnic State University/NASA JPL,Earth Observation,LEO,2015-01-31,10.0,4.0
Cryosat-2 ,ESA,European Space Agency (ESA),Earth Observation,LEO,2010-04-08,3.0,720.0
CSSWE (Colorado Student Space Weather Experiment),USA,University of Colorado,Earth Science,LEO,2012-09-13,1.0,3.0
Cubebug 1  (Capitán Beto),Argentina,"Argentinian Ministry of Science, Technology and Productive Innovation/Radio Club Bariloche",Technology Development,LEO,2013-04-26,10.0,2.0
"Cubebug 2 (Manolito, LO-74)",Argentina,"Argentinian Ministry of Science, Technology and Productive Innovation/Radio Club Bariloche",Technology Development,LEO,2013-11-21,10.0,2.0
"Cubesat XI-IV (Oscar 57, CO-57)",Japan,"Department of Astronautics, University of Tokyo",Technology Development,LEO,2003-06-30,10.0,1200.0
CUSat-1 (Cornell University Satellite 1),USA,"Space Systems Design Studio, Cornell University",Technology Development,LEO,2013-09-29,5.0,1200.0
"Daichi-2 (Advanced Land Observing Satellite-2, ALOS 2 2)",Japan,Japan Aerospace Exploration Agency (JAXA),Earth Observation,LEO,2014-05-24,7.0,2120.0
